sp1	sp2	NONSYN.sites_sum	NONSYN.numsubs.sp1_sum	NONSYN.numsubs.sp2_sum	SYN.sites_sum	SYN.numsubs.sp1_sum	SYN.numsubs.sp2_sum	dS.sp1	dS.sp2	dN.sp1	dN.sp2	dnds.sp1	dnds.sp2
Sebastes_aleutianus	Sebastes_alutus	5700349.12112888	7559	12696	1833385.88893709	17338	24218	0.00945681981334097	0.0132094395108716	0.00132605913065602	0.00222723200460496	0.140222522669335	0.168609122496977
Sebastes_aleutianus	Sebastes_atrovirens	4938580.60165169	6780	30374	1589079.34420569	15283	43250	0.00961751850574791	0.0272170172985407	0.00137286409737495	0.0061503501613078	0.142746187236808	0.225974437016564
Sebastes_aleutianus	Sebastes_auriculatus	4798027.87259273	6510	29032	1543378.12199231	14900	41849	0.00965414747538726	0.0271151958186229	0.00135680745774454	0.00605081937223342	0.140541405774425	0.223152339105649
Sebastes_aleutianus	Sebastes_aurora	4448735.44160935	6232	27243	1432053.36464997	14017	40096	0.00978804306180731	0.0279989565960067	0.00140084751763651	0.00612376266414816	0.143118242205388	0.218713959684539
Sebastes_aleutianus	Sebastes_babcocki	4909207.64137478	6641	32624	1578416.82999791	15171	42743	0.00961152954762911	0.0270796656419689	0.00135276412919056	0.00664547160829888	0.140743897470954	0.245404492661073
Sebastes_aleutianus	Sebastes_carnatus	4307500.29292628	6056	26997	1387120.28062798	13662	40035	0.0098491819280552	0.0288619527514046	0.00140591981153085	0.00626744008452748	0.142744831174873	0.217152322939149
Sebastes_aleutianus	Sebastes_caurinus	3560385.27507162	5163	22208	1146931.76995535	11620	33681	0.0101313786089057	0.0293661758112351	0.00145012396162551	0.00623752720119686	0.143131948533719	0.212405157596668
Sebastes_aleutianus	Sebastes_chlorostictus	4952504.95010326	6898	37636	1592694.49817547	15679	48403	0.00984432357741001	0.0303906367827908	0.0013928305109228	0.00759938664962168	0.141485649061654	0.250056841649497
Sebastes_aleutianus	Sebastes_ciliatus	5531505.95805352	7471	13314	1779259.2150642	16849	26197	0.00946967134262785	0.014723543246651	0.00135062676541507	0.00240693946656889	0.1426265724065	0.163475559262298
Sebastes_aleutianus	Sebastes_constellatus	4797050.76123482	6618	40862	1543626.85772988	15007	50314	0.00972190910312997	0.03259466479742	0.00137959765893669	0.00851815042905271	0.141906043792626	0.261335727242299
Sebastes_aleutianus	Sebastes_crameri	4951307.00012027	6661	17697	1591767.8688355	15291	24928	0.00960630020204301	0.0156605749418958	0.00134530135171142	0.00357420777979837	0.140043650876672	0.228229665453502
Sebastes_aleutianus	Sebastes_dalli	4620564.31427005	6450	29291	1487766.7992903	14448	42296	0.00971119936732831	0.0284291866307114	0.00139593338849975	0.00633926897403816	0.14374469472804	0.222984535448861
Sebastes_aleutianus	Sebastes_diploproa	4677982.46609231	6331	32079	1504957.46566492	14530	42814	0.0096547579127629	0.0284486445476277	0.00135336120771921	0.0068574434026891	0.140175571458935	0.241046401743626
Sebastes_aleutianus	Sebastes_elongatus	4880047.25751915	6714	28162	1569727.43035334	15070	39223	0.00960039285075612	0.0249871405962314	0.00137580634893548	0.005770845754948	0.143307296932866	0.230952626721057
Sebastes_aleutianus	Sebastes_ensifer	4590253.77696816	6344	34176	1477336.66046386	14580	43880	0.00986911134759366	0.0297020991723189	0.00138205866347332	0.00744533998784117	0.140038815532293	0.2506671311225
Sebastes_aleutianus	Sebastes_entomelas	4933664.34599633	6679	21005	1585980.72065926	15386	31221	0.00970125285861251	0.019685611302401	0.00135376051786336	0.00425748460513848	0.1395449162694	0.216273934283119
Sebastes_aleutianus	Sebastes_exsul	4470534.35681283	6364	37418	1439031.39354198	14292	47383	0.00993168047906317	0.0329270092456934	0.00142354347200165	0.00836991666174698	0.143333595457748	0.254196079555622
Sebastes_aleutianus	Sebastes_fasciatus	5624712.75200389	7493	14743	1809693.55344141	16999	23922	0.00939330306375562	0.0132188126296348	0.00133215691722755	0.00262111162827783	0.141819859125777	0.198286465034057
Sebastes_aleutianus	Sebastes_flavidus	4868062.27235888	6716	19943	1565393.90746231	15139	30098	0.00967104824404364	0.0192271094556593	0.00137960437320899	0.00409670190811597	0.14265303392098	0.213069048031562
Sebastes_aleutianus	Sebastes_goodei	4878280.7155539	6542	34395	1568386.27981887	15131	46385	0.00964749576982236	0.0295749845537777	0.00134104623769221	0.007050639765427	0.139004594527736	0.238398764084102
Sebastes_aleutianus	Sebastes_helvomaculatus	4446050.61808791	6227	34808	1430742.91076957	14204	45535	0.00992770950887322	0.0318261230981795	0.00140056884972623	0.00782897069556299	0.141076735623099	0.245991969282957
Sebastes_aleutianus	Sebastes_hopkinsi	4915284.73023266	6662	31687	1581483.26411746	15237	44401	0.00963462614225191	0.0280755421239172	0.00135536400547129	0.00644662552407216	0.140676346488157	0.22961713421663
Sebastes_aleutianus	Sebastes_inermis	5674407.79883743	7494	24393	1825109.23358524	17229	39526	0.00943998292428527	0.0216567859460967	0.00132066644937563	0.00429877457961298	0.139901359988489	0.198495501147426
Sebastes_aleutianus	Sebastes_jordani	4908364.36823909	6589	36247	1578949.98550269	15163	48191	0.00960321741614415	0.0305209160787049	0.00134240237799702	0.00738474108290455	0.139786731865539	0.241956731045076
Sebastes_aleutianus	Sebastes_levis	4797419.24059074	6421	32543	1543238.304413	14869	42909	0.00963493451236992	0.027804519805722	0.00133842795010956	0.00678343883825187	0.138914068216157	0.243968926118835
Sebastes_aleutianus	Sebastes_maliger	4040466.24356563	5637	25178	1301722.24789126	12910	37834	0.00991763029395383	0.0290645720016614	0.00139513602148683	0.00623145906492735	0.140672315879466	0.214400510166506
Sebastes_aleutianus	Sebastes_melanops	4448628.37145871	6221	18086	1431243.5578754	14019	28179	0.00979497858548295	0.0196884728982327	0.00139840856114491	0.00406552278361466	0.142767903874489	0.206492540311727
Sebastes_aleutianus	Sebastes_melanostomus	4808971.6968774	6685	26694	1547130.79007684	14994	36178	0.00969148833193042	0.0233839312306642	0.00139011007370677	0.00555087484031839	0.143436180914214	0.237379882174787
Sebastes_aleutianus	Sebastes_mentella	4847808.35223325	6707	12938	1560783.32177923	14932	20900	0.00956699100486165	0.0133907120279673	0.00138351178773606	0.00266883487546281	0.144613054097469	0.199304926421297
Sebastes_aleutianus	Sebastes_miniatus	4835756.12350881	6686	29312	1556276.84975943	14971	35837	0.00961975371047522	0.0230273938763142	0.00138261728450207	0.0060615132879636	0.143726890117415	0.263230538397939
Sebastes_aleutianus	Sebastes_minor	5589118.27924748	7494	17284	1798203.72700755	17071	28999	0.00949336259490931	0.0161266488131788	0.00134081971888578	0.00309243768631197	0.141237596845272	0.191759473535804
Sebastes_aleutianus	Sebastes_mystinus	4891403.89450935	6670	20895	1574076.60389457	15206	31325	0.00966026682715276	0.0199005562515165	0.00136361669243612	0.00427177972840371	0.141157249259753	0.21465629776445
Sebastes_aleutianus	Sebastes_nebulosus	4189638.29364112	5925	25167	1349719.88940111	13219	36303	0.0097938839783012	0.0268966918877576	0.00141420322823398	0.006006962471724	0.144396567425877	0.223334620361181
Sebastes_aleutianus	Sebastes_nigrocinctus	4509882.61674645	6306	31354	1451215.35841125	13970	42363	0.00962641410803008	0.0291913944780586	0.00139826255711935	0.00695228737962578	0.145252691337365	0.238162222255309
Sebastes_aleutianus	Sebastes_paucispinis	4904481.89279513	6627	35109	1577479.31247461	15188	46839	0.0096280184975449	0.0296923069796224	0.00135121306283857	0.00715855431163411	0.140341760164163	0.241091213173397
Sebastes_aleutianus	Sebastes_pinniger	4797120.49630506	6570	24657	1542998.61865259	14880	34082	0.00964356015625846	0.0220881597611291	0.00136957160135137	0.00513995844361046	0.142019293617674	0.232701976950375
Sebastes_aleutianus	Sebastes_polyspinis	5257461.31591193	7176	13260	1692323.5437489	16278	24923	0.00961872808549382	0.0147270893276055	0.00136491731822763	0.00252212982715974	0.141902058785307	0.171257861689756
Sebastes_aleutianus	Sebastes_proriger	4898082.61459933	6677	20686	1575353.29321921	15212	30634	0.00965624667525502	0.01944579678213	0.00136318648037875	0.00422328523784855	0.141171464050523	0.217182421742142
Sebastes_aleutianus	Sebastes_rastrelliger	4601043.8069793	6288	28954	1481255.77017652	14220	42408	0.00959996260355861	0.0286297618911191	0.0013666464097694	0.00629291987093882	0.142359555573977	0.219803430251052
Sebastes_aleutianus	Sebastes_reedi	4484070.67536457	6181	15617	1442714.28541841	14102	22932	0.00977463115360376	0.0158950391160432	0.00137843500860911	0.00348277293794668	0.141021690429812	0.219110686832563
Sebastes_aleutianus	Sebastes_rosaceus	4494938.7812627	6341	30773	1446431.36703863	14344	40811	0.00991682033926531	0.028214957812727	0.0014106977444126	0.00684614440763427	0.142253030321321	0.24264237618481
Sebastes_aleutianus	Sebastes_rosenblatti	4072046.68190012	5820	30500	1309204.21656162	13288	41624	0.0101496770571809	0.0317933592585866	0.00142925669930784	0.00749009094998093	0.140817948320497	0.235586648427471
Sebastes_aleutianus	Sebastes_ruberrimus	4733882.97576495	6600	26685	1522882.52841478	14687	36877	0.00964421071616616	0.0242152623803404	0.00139420429989263	0.00563702147615678	0.144563857108139	0.232787957760611
Sebastes_aleutianus	Sebastes_rubrivinctus	4481601.43644027	6154	32726	1442123.29359594	13942	44638	0.00966768934522623	0.0309529706636213	0.001373169856195	0.0073023004084884	0.142037027376459	0.235915980015149
Sebastes_aleutianus	Sebastes_saxicola	4652256.50620928	6388	28623	1497229.18228273	14365	39739	0.00959438953634244	0.0265416947987965	0.00137309711781241	0.00615249824720486	0.143114589272332	0.231805025784707
Sebastes_aleutianus	Sebastes_schlegelii	5615071.86845678	7463	23924	1805901.31202692	17024	37697	0.00942687171587051	0.020874341110971	0.00132910142110988	0.00426067565303936	0.140990718996662	0.204110665356525
Sebastes_aleutianus	Sebastes_semicinctus	4634109.3102749	6464	28611	1491519.45932132	14387	40216	0.00964586811797041	0.0269631078218043	0.00139487430425256	0.00617400196766243	0.144608477660386	0.228979612011553
Sebastes_aleutianus	Sebastes_serriceps	4587220.77088717	6258	33303	1475733.99565258	14179	45612	0.00960810013306631	0.0309080092580168	0.00136422472616021	0.00725995143101848	0.141986938860601	0.234889001436914
Sebastes_aleutianus	Sebastes_steindachneri	4595306.57220714	6167	18265	1477242.23344297	14265	24450	0.00965650702170415	0.0165511108784204	0.00134202145234414	0.00397470760938313	0.138975868740921	0.240147482460856
Sebastes_aleutianus	Sebastes_umbrosus	4021414.47450967	5465	30090	1293895.33687219	13127	41874	0.0101453337267083	0.0323627412563557	0.00135897456843623	0.00748244185988038	0.133950701380936	0.231205440868236
